,f1,f10,f105,f111,f117,f123,f124,f126,f127,f128,f129,f13,f131,f132,f133,f134,f135,f136,f137,f138,f139,f14,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,f153,f154,f155,f156,f157,f158,f159,f16,f160,f163,f169,f17,f175,f18,f181,f187,f19,f193,f199,f2,f20,f201,f202,f203,f204,f205,f206,f207,f208,f209,f21,f210,f211,f217,f22,f223,f227,f23,f233,f239,f24,f245,f25,f251,f254,f255,f256,f257,f258,f259,f26,f260,f261,f262,f263,f264,f265,f266,f269,f27,f275,f28,f281,f282,f283,f284,f286,f287,f288,f289,f29,f290,f292,f295,f297,f3,f30,f302,f304,f305,f307,f308,f309,f31,f310,f311,f312,f313,f314,f315,f316,f318,f319,f32,f320,f321,f322,f323,f324,f325,f326,f327,f330,f333,f334,f335,f336,f337,f338,f339,f34,f340,f341,f342,f343,f344,f345,f346,f347,f348,f349,f35,f350,f351,f352,f353,f354,f355,f356,f357,f358,f359,f36,f360,f361,f362,f363,f364,f365,f366,f367,f368,f369,f37,f370,f371,f372,f373,f374,f375,f376,f377,f378,f379,f380,f381,f383,f384,f385,f386,f388,f389,f390,f392,f393,f394,f397,f398,f399,f4,f40,f400,f401,f402,f403,f404,f406,f407,f408,f409,f41,f410,f411,f412,f413,f414,f415,f416,f42,f43,f44,f45,f46,f47,f48,f49,f5,f51,f52,f53,f54,f55,f57,f58,f60,f61,f62,f63,f65,f66,f67,f68,f69,f7,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f91,f92,f93,f94,f98,f99
fid1350o,7432,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1969,0,0,0,10964,933,4025,860,1044,0,0,0,200,0,2438,0,47844,0,0,0,190,0,0,0,0,0,0,0,17191,0,0,2191,0,0,9240,0,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1745,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,385,0,0,4940,5220,821,6862,0,1228,20627,0,1525,0,0,0,0,640,0,0,3275,0,0,0,0,0,0,0,0,0,3442,2896,0,0,0,0,0,0,287,0,0,1084,0,0,0,0,0,333,308,0,0,0,0,0,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1432,0,517,0,0,0,0,0,0,0,0,4539,0,5254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,773,1664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654,0,202,0,0,1470,2207,0,865,0,0,0,0,0,20847,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,1999,0,0,256,1401,0,30558,1461,0,984,0,805,1517,1375,0,0,0,82903,938
fid1445o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7092,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9909,0,0,0,0,0,0,3101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2810,0,0,0,0,5171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fid1116o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,199,0,2658,1387,0,0,0,0,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fid369o,8431,2180,0,0,0,0,26305,8359,3385,0,0,4161,2823,1317,214,0,2672,1010,0,3530,1453,5277,0,10848,3106,0,2819,0,161,4199,11938,0,0,0,639,1552,7688,369,0,2339,1847,0,1853,0,0,119,0,0,8834,0,0,7243,0,0,4753,0,1327,0,0,291,683,0,0,0,0,8831,0,172,0,4146,0,235,7652,0,2280,6622,0,140,0,0,254,0,0,0,0,2300,0,0,0,0,0,0,0,263,142240,0,0,0,16720,1742,9620,24666,6592,1998,0,1992,6924,0,5174,0,0,8760,0,3991,7353,2178,0,2464,17112,0,0,0,8826,0,17270,4702,0,0,6583,2450,2233,3510,4425,0,4029,4410,0,0,6541,0,0,0,0,7300,1306,102,0,0,0,0,0,0,0,0,0,0,39807,0,0,0,0,0,0,0,10404,2776,0,1876,0,17939,2026,1876,147,4781,1455,10929,0,11546,16417,72695,0,10038,0,2528,1640,14451,18678,6516,9558,22227,0,0,8914,4986,3726,0,2382,900,7174,0,1940,3087,3998,2849,805,4070,3631,2159,1826,1948,0,1030,10731,967,134,7450,819,6958,6040,10719,0,0,3095,21804,3209,11515,1259,1148,10757,6565,175,15880,5088,7484,11972,5733,0,1486,0,0,9267,6529,0,689,0,0,525,1107,775,17140,2058,0,0,0,0,8474,5598,10669,3855,7378,1017,6011,3964,0,6265,1192,2228,9385,5435,2584,0,0,4945,1097
fid1960o,2635,0,0,0,0,0,11475,0,0,0,0,2612,0,1869,0,0,0,0,6907,6127,0,0,0,0,0,0,0,0,0,5555,0,0,0,0,6517,0,0,0,0,105,0,0,0,0,522,804,0,0,0,0,0,0,0,0,0,0,2470,0,0,0,0,599,0,0,0,0,0,0,0,136,0,793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1547,70740,0,0,0,0,0,0,2800,0,0,0,0,641,0,0,313,0,1002,0,0,0,0,0,0,2848,0,0,0,0,10370,5685,7829,0,0,0,0,0,4935,3032,0,0,87455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7848,0,0,0,0,0,0,0,5014,0,0,0,0,0,0,0,0,0,0,0,0,4088,0,6815,0,0,0,0,0,0,766,0,0,0,0,0,2459,24690,0,0,0,0,0,0,0,0,0,3461,0,0,0,0,1798,0,366,0,916,0,0,2876,2527,0,91220,0,0,0,1824,11795,0,8903,0,0,0,0,0,0,0,0,0,2111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,0,0,0
fid970o,306,0,0,0,0,0,0,7321,2599,0,0,0,6107,325,0,0,2367,0,16771,7869,0,0,0,0,2770,2724,0,0,0,1695,0,2504,1324,0,0,0,2095,0,0,0,0,0,0,0,0,0,0,0,0,0,5334,731,0,0,0,0,4940,0,0,0,0,0,0,0,0,2284,0,133,333,0,0,0,164,0,0,733,0,0,0,0,1136,0,0,2496,0,930,0,0,0,0,0,0,0,0,0,0,785,154,0,0,8537,0,0,0,0,4152,0,0,6710,0,0,6018,0,0,4358,0,0,0,5138,0,0,341,5852,0,0,1198,0,0,2284,0,0,0,12005,0,0,5597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604,5415,0,0,0,0,0,401,0,122,2695,0,0,0,0,7216,5003,0,2754,2331,4993,7509,6482,1948,0,0,0,0,0,0,0,17730,5305,0,0,349,0,2302,2071,7006,0,2029,3021,0,0,102412,0,0,0,0,1998,6061,1203,0,1623,0,1500,1747,0,0,13525,0,0,2680,0,0,2099,0,0,0,5122,1708,0,2377,0,1186,364,0,0,6098,2138,10985,3460,0,0,0,0,628,0,0,6635,9360,5443,0,0,0,0,0,3471,0,0,0,3987,2255,8763,0,0,0,0,11256,0,0,8739,0,0,0,0,0,1386
fid1350f,7432,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1969,0,0,0,10964,933,4025,860,1044,0,0,0,200,0,2438,0,47844,0,0,0,190,0,0,0,0,0,0,0,17191,0,0,2191,0,0,9240,0,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1745,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,385,0,0,4940,5220,821,6607,0,1228,20627,0,1525,0,0,0,0,640,0,0,3275,0,0,0,0,0,0,0,0,0,3229,2896,0,0,0,0,0,0,287,0,0,0,0,0,0,0,0,333,308,0,0,0,0,0,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1432,0,517,0,0,0,0,0,0,0,0,4539,0,5254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,773,1664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654,0,202,0,0,1470,2207,0,865,0,0,0,0,0,20847,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,1999,0,0,256,1401,0,30558,1461,0,984,0,805,1517,1375,0,0,0,82903,938
fid956f,49862,1310,0,0,0,0,6545,0,0,0,0,10619,0,0,0,0,0,0,13544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2554,0,0,0,0,0,0,0,0,1993,0,0,0,0,0,0,4216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4900,0,0,0,34960,0,0,0,0,0,0,0,0,0,7661,0,0,0,0,0,0,0,0,0,7651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3537,0,0,0,338,0,0,0,0,0,0,0,0,0,0,650,0,0,0,0,0,0,0,0,2101,0,0,0,0,0,0,0,0,0,133,0,445,0,0,0,0,0,0,32402,0,3108,0,927,1539,0,2317,138,0,0,0,0,0,0,1550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4111,0,0,0,0,0,0,3556,0,4780,0,0,0,0,0,0,0,0,393,1182,0,0
fid970f,0,0,0,0,0,0,0,1926,1727,0,0,0,0,0,0,0,2367,0,0,3400,0,0,0,0,0,2724,0,0,0,1695,0,0,1324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3334,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930,0,0,0,0,0,0,0,0,0,0,785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2644,0,0,0,0,0,0,0,0,0,0,5852,0,0,1198,0,0,2284,0,0,0,5352,0,0,5597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5415,0,0,0,0,0,401,0,0,2695,0,0,0,0,7216,0,0,2754,0,4993,0,0,0,0,0,0,0,0,0,0,7385,0,0,0,349,0,0,2071,6120,0,0,0,0,0,0,0,0,0,0,0,2515,1203,0,1623,0,0,1747,0,0,13525,0,0,0,0,0,0,0,0,0,5122,0,0,2377,0,0,0,0,0,6098,0,10985,0,0,0,0,0,0,0,0,0,4163,5443,0,0,0,0,0,3471,0,0,0,0,2255,8637,0,0,0,0,0,0,0,0,0,0,0,0,0,1386
fid1254f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,889,0,0,0,0,0,0,0,0,0,0,0,10370,2442,4856,0,0,0,0,0,0,0,0,0,41734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6815,0,0,0,0,0,0,766,0,0,0,0,0,2459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9123,0,5712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
